PERMNO,conm,tic
3178,NEWELL BRANDS INC,NWL
21286,NEWMONT CORP,NEM
21286,NEWMONT CORP,NEM
21288,NIAGARA MOHAWK HOLDINGS INC,NMK
21288,NIAGARA MOHAWK HOLDINGS INC,NMK
21293,NICOR INC,GAS.2
3194,NIKE INC  -CL B,NKE
3217,NORDSTROM INC,JWN
21294,NORFOLK SOUTHERN CORP,NSC
21247,NACCO INDUSTRIES  -CL A,NC
21300,XCEL ENERGY INC,XEL
21300,XCEL ENERGY INC,XEL
21301,NORTEL NETWORKS CORP,NRTLQ
21303,NORTHROP GRUMMAN CORP,NOC
21304,NORTON CO,NRT.3
21305,WELLS FARGO & CO,WFC
21308,NUCOR CORP,NUE
21316,NYNEX CORP,NYN
21322,OCCIDENTAL PETROLEUM CORP,OXY
21324,COVANTA ENERGY CORP,CVGYQ
21326,FIRSTENERGY CORP,FE
21326,FIRSTENERGY CORP,FE
21332,ONEOK INC,OKE
7525,OSHKOSH B'GOSH INC  -CL A,GOSHA
21345,OUTBOARD MARINE CORP,9975B
21345,OUTBOARD MARINE CORP,9975B
21345,OUTBOARD MARINE CORP,9975B
21347,OWENS CORNING,OC
21347,OWENS CORNING,OC
3685,PNC FINANCIAL SVCS GROUP INC,PNC
21351,PPG INDUSTRIES INC,PPG
21351,PPG INDUSTRIES INC,PPG
3487,PACCAR INC,PCAR
21356,PG&E CORP,PCG
21356,PG&E CORP,PCG
21355,SEMPRA ENERGY,SRE
21355,SEMPRA ENERGY,SRE
21357,PACIFIC TELESIS GROUP,PAC.2
21358,PACIFICORP,MEC2
21360,PALL CORP,PLL.1
21361,PAN AM CORP,3PNAA.
21361,PAN AM CORP,3PNAA.
21362,PANENERGY CORP,PEL.1
21362,PANENERGY CORP,PEL.1
21367,PARKER-HANNIFIN CORP,PH
21375,OLD COPPER CO INC,CPPRQ
21375,OLD COPPER CO INC,CPPRQ
21381,PENNZENERGY CO,PZE.1
21382,PEOPLES ENERGY CORP,PGL.1
21382,PEOPLES ENERGY CORP,PGL.1
21383,PEP BOYS-MANNY MOE & JACK,PBY.1
21384,PEPSICO INC,PEP
21384,PEPSICO INC,PEP
21387,APPLIED BIOSYSTEMS INC,ABI.3
21387,APPLIED BIOSYSTEMS INC,ABI.3
21394,PFIZER INC,PFE
21394,PFIZER INC,PFE
22806,PHELPS DODGE CORP,PD.1
22806,PHELPS DODGE CORP,PD.1
22806,PHELPS DODGE CORP,PD.1
21556,CITIGROUP GLOBAL MKTS HLDGS,C2
21556,CITIGROUP GLOBAL MKTS HLDGS,C2
21396,EXELON CORP,EXC
21396,EXELON CORP,EXC
21398,ALTRIA GROUP INC,MO
21398,ALTRIA GROUP INC,MO
21400,PHILIPS INDUSTRIES INC,PHL.1
21401,CONOCOPHILLIPS,COP
21401,CONOCOPHILLIPS,COP
21411,PITNEY BOWES INC,PBI
21411,PITNEY BOWES INC,PBI
21414,PITTSTON CO-CONSOLIDATED,PZSM.CM
21416,PLACER DOME INC,PDG
21426,PRIMARY PDC INC,PRDCQ
21431,POTLATCHDELTIC CORP,PCH
5322,PRICE CO,PCLB.1
21442,PRIME HOSPITALITY CORP,PDQ.2
21446,PROCTER & GAMBLE CO,PG
21446,PROCTER & GAMBLE CO,PG
3685,PROVIDENT NATIONAL CORP,PROV.
21353,PSI RESOURCES INC,CIN2
21353,PSI RESOURCES INC,CIN2
21458,PUBLIC SERVICE ENTRP GRP INC,PEG
21458,PUBLIC SERVICE ENTRP GRP INC,PEG
21349,PULTEGROUP INC,PHM
21470,QUAKER OATS CO,OAT.
21470,QUAKER OATS CO,OAT.
21485,RALSTON PURINA-CONSOLIDATED,RACM.CM
3782,RAYCHEM CORP,RYC.
21492,RAYTHEON CO,RTN
21492,RAYTHEON CO,RTN
7662,REEBOK INTERNATIONAL LTD,RBK
21512,REYNOLDS METALS CO,RLM.1
21512,REYNOLDS METALS CO,RLM.1
21515,RITE AID CORP,RADCQ
3876,CALIBER SYSTEMS INC,CBB.1
21524,ROCKWELL AUTOMATION,ROK
21524,ROCKWELL AUTOMATION,ROK
21527,ROHM AND HAAS CO,ROH
21527,ROHM AND HAAS CO,ROH
21529,SAFETY-KLEEN CORP,SKLNQ
21532,ROWAN COMPANIES LTD,RDC
21536,RUBBERMAID INC,RBD
21540,RUSSELL CORP,RML.1
21541,RYDER SYSTEM INC,R
3962,SAFECO CORP,SAF.3
3964,SAFETY-KLEEN CORP-OLD,SK.1
4278,ST JUDE MEDICAL INC,STJ
4293,ST PAUL COS,SPC.2
26047,SANTA FE SNYDER CORP,SFS.1
21565,SANTA FE PACIFIC CORP,SFX.2
21566,HILLSHIRE BRANDS CO,HSH
21566,HILLSHIRE BRANDS CO,HSH
21575,SCHERING-PLOUGH,SGP
21575,SCHERING-PLOUGH,SGP
21576,SCHLUMBERGER LTD,SLB
21576,SCHLUMBERGER LTD,SLB
21580,SCIENTIFIC-ATLANTA INC,SFA.1
21582,SCOTT PAPER CO,SPP.3
21582,SCOTT PAPER CO,SPP.3
21588,SEAGRAM CO LTD,VO.3
21588,SEAGRAM CO LTD,VO.3
21548,SPX CORP-OLD,SPW.2
21592,SEARS ROEBUCK & CO,S.1
21592,SEARS ROEBUCK & CO,S.1
4205,SECURITY PACIFIC CORP,7448B
21599,SERVICE CORP INTERNATIONAL,SCI
4150,SHARED MEDICAL SYSTEMS CORP,SMS.2
21609,SHERWIN-WILLIAMS CO,SHW
4098,SHONEY'S INC,3SHOY
21623,SKYLINE CORP,SKY.1
4162,SNAP-ON INC,SNA
21632,SONAT INC,SNT.1
21632,SONAT INC,SNT.1
21543,EDISON INTERNATIONAL,EIX
21543,EDISON INTERNATIONAL,EIX
21640,SOUTHERN CO,SO
21640,SOUTHERN CO,SO
21645,AT&T INC,T
26107,C & S SOVRAN CORP,CVN.3
4817,C & S SOVRAN CORP,CVN.3
21652,SPRINGS INDUSTRIES  -CL A,SMI.1
21653,SQUARE D CO,SQD.1
21653,SQUARE D CO,SQD.1
21664,STANLEY BLACK & DECKER INC,SWK
21676,STONE CONTAINER CORP,STO.3
21678,STRIDE RITE CORP,SRR
21686,SUNOCO INC,SUN.1
21686,SUNOCO INC,SUN.1
21691,SUNTRUST BANKS INC,STI.1
21692,SUPERVALU INC,SVU
21697,SYNTEX CORP,SYN.1
21698,SYSCO CORP,SYY
21705,TRW INC,TRW.1
21705,TRW INC,TRW.1
4491,TANDEM COMPUTERS INC,TDM.
21711,RS LEGACY CORP,RSHCQ
21711,RS LEGACY CORP,RSHCQ
21719,TEKTRONIX INC,TEK.1
4388,TELE-COMM TCI GROUP  -SER A,TCOMA
21722,ATI INC -NEW,ATI
21726,TEMPLE-INLAND INC,TIN
21729,TENNECO INC,TEN.2
21729,TENNECO INC,TEN.2
21734,TEXACO INC,TX.2
21734,TEXACO INC,TX.2
21737,TEXAS INSTRUMENTS INC,TXN
21737,TEXAS INSTRUMENTS INC,TXN
21740,ENERGY FUTURE HOLDINGS CORP,0033A
21740,ENERGY FUTURE HOLDINGS CORP,0033A
21743,TEXTRON INC,TXT
21743,TEXTRON INC,TXT
21745,THOMAS & BETTS CORP,TNB
21756,TIME WARNER INC-OLD,TWX.1
21757,TIMES MIRROR CO  -SER A,TMC.3
21758,TIMKEN CO,TKR
21758,TIMKEN CO,TKR
21762,TONKA CORP,TKA.
21764,GLOBE LIFE INC,GL
4522,TOYS R US INC,1231B
21769,TRANSAMERICA CORP,TA.1
21769,TRANSAMERICA CORP,TA.1
21778,TRAVELERS CORP,TIC.1
21782,TRIBUNE MEDIA CO,TRCO
21791,TYCO INTERNATIONAL PLC,TYC
21793,UNITED AIRLINES HOLDINGS INC,UAL
21793,UNITED AIRLINES HOLDINGS INC,UAL
21799,USF&G CORP,FG.2
21799,USF&G CORP,FG.2
21800,USG CORP,USG.1
21800,USG CORP,USG.1
21803,UNILEVER PLC,UL
21803,UNILEVER PLC,UL
21803,UNILEVER PLC,UL
21805,UNION CAMP CORP,UCC.2
21805,UNION CAMP CORP,UCC.2
21806,UNION CARBIDE CORP,DOW2
21806,UNION CARBIDE CORP,DOW2
21810,UNION PACIFIC CORP,UNP
4717,U S BANCORP-OLD,USBC.
21827,US AIRWAYS GROUP INC-OLD,3UAIRQ
21827,US AIRWAYS GROUP INC-OLD,3UAIRQ
21828,U S HOME CORP,UH
21795,USX CORP-CONSOLIDATED,MROX.CM
21795,USX CORP-CONSOLIDATED,MROX.CM
21796,UST INC,UST.1
21796,UST INC,UST.1
21832,RTX CORP,RTX
21832,RTX CORP,RTX
21833,SPRINT CORP,S.4
21833,SPRINT CORP,S.4
21842,UNOCAL CORP,UCL.1
21842,UNOCAL CORP,UCL.1
21843,PHARMACIA & UPJOHN INC,PNU.1
21845,USLIFE CORP,USH.1
21849,VF CORP,VFC
21880,WALMART INC,WMT
21881,WALGREENS BOOTS ALLIANCE INC,WBA
21881,WALGREENS BOOTS ALLIANCE INC,WBA
21883,WANG LABS INC,WANG
21886,WARNER-LAMBERT CO,WLA
21886,WARNER-LAMBERT CO,WLA
21891,WASTE MANAGEMENT INC-OLD,WMX
21902,WELLS FARGO & CO -OLD,WFC.Z
4961,WENDY'S INTERNATIONAL INC,WEN.2
21912,CBS CORP -OLD,CBS.2
21912,CBS CORP -OLD,CBS.2
4954,WESTMORELAND COAL CO,WLBAQ
21913,MEADWESTVACO CORP,MWV
21913,MEADWESTVACO CORP,MWV
4904,WETTERAU INC,WETT
21914,WEYERHAEUSER CO,WY
21916,WHIRLPOOL CORP,WHR
21916,WHIRLPOOL CORP,WHR
21923,WILLIAMS COS INC,WMB
21926,WINN-DIXIE STORES INC,WINN.1
21926,WINN-DIXIE STORES INC,WINN.1
21936,FOOT LOCKER INC,FL
21936,FOOT LOCKER INC,FL
5009,WORTHINGTON ENTERPRISES INC,WOR
21941,WRIGLEY (WM) JR CO,WWY
21941,WRIGLEY (WM) JR CO,WWY
21945,XEROX HOLDINGS CORP,XRX
5037,YELLOW CORP,YELLQ
21949,TJX COS INC (THE),TJX
21950,ZENITH ELECTRONICS CORP,ZE
21950,ZENITH ELECTRONICS CORP,ZE
21953,ZURN INDUSTRIES INC,ZRN
7571,CYPRUS AMAX MINERALS CO,CYM.1
8045,ORACLE CORP,ORCL
21037,KB HOME,KBH
20882,JOY GLOBAL INC,JOY
21436,PREMARK INTERNATIONAL INC,PMI.2
21999,ORYX ENERGY CO,ORX
22093,MORTON INTERNATIONAL INC,MII.3
26032,CAESARS ENTERTAINMENT CORP,CZR.3
20950,HUMANA INC,HUM
20060,HOWMET AEROSPACE INC,HWM
21414,BRINKS CO,BCO
21414,BRINKS CO,BCO
21414,BRINKS CO,BCO
21485,RALSTON PURINA CO,RAL.
21913,WESTROCK CO,WRK
20253,BAKER HUGHES CO,BKR
21623,CHAMPION HOMES INC,SKY
20531,CRANE NXT CO,CXT
21830,QWEST COMMUNICATION INTL INC,Q.2
4293,TRAVELERS COS INC,TRV
20390,PROVIDIAN CORP,PVN.2
20610,MOODY'S CORP,MCO
20745,MASSEY ENERGY CO,MEE
20851,VIAD CORP,VVI
11253,AID AUTO STORES INC  -OLD,AASS
11253,AID AUTO STORES INC  -OLD,AASS
15473,ATCOR INC,ATCO.
11901,ENTRPRIZE CORP,ENTP
20627,CALBIOCHEM,CALB.
21224,CAPITAL INDUSTRIES INC,3CIIC
30453,CENTURY GEOPHYSICAL CORP,2984B
30453,CENTURY GEOPHYSICAL CORP,2984B
31668,EDUCATIONAL DEVELOPMENT CORP,EDUC
31668,EDUCATIONAL DEVELOPMENT CORP,EDUC
20394,OUTBOARD MARINE CORP,9975B
20394,OUTBOARD MARINE CORP,9975B
20394,OUTBOARD MARINE CORP,9975B
12083,SAHLEN & ASSOCIATES INC,6607B
10303,PRIME CAPITAL CORP,PRME10
10996,DISC TECHNOLOGY CORP,DSTC
21866,PETVIVO HOLDINGS INC,PETV
14776,SYNCHRONY FINANCIAL,SYF
15321,ISHARES U.S. SM-CP EQ FT ETF,SMLF
16347,ALCOA CORP,AA
16454,INTERNATIONAL SEAWAYS INC,INSW
16285,CAPSTAR FINANCIAL HLDGS INC,CSTR
16614,MULESOFT INC,MULE
17300,FRANKLIN FTSE INDIA ETF,FLIN
21578,REAL BROKERAGE INC (THE),REAX
21578,REAL BROKERAGE INC (THE),REAX
20065,CONCENTRIX CORP,CNXC
20265,VANECK MS AN BBB CRP BD ETF,MBBB
20557,,
20203,ADVANTIS INTL SLL CP VLU ETF,AVMU
20245,PACER SWAN SOS CONSERV - JAN,PSCX
20245,PACER SWAN SOS CONSERV - JAN,PSCX
20881,,
20421,COMSOVEREIGN HOLDING CORP,COMS
21111,BARINTHUS BIOTHERAPEUTICS,BRNS
20972,UIPATH INC,PATH
21551,UPEXI INC,UPXI
20997,,
21731,IMAGO BIOSCIENCES INC,IMGO
21633,FORMIDABLE FORTRESS ETF,KONG
21826,ROCKLEY PHOTONICS HLDING LTD,RKLYQ
21798,REVERSE SECTOR OPPS ETF,RSPY
22856,IMGP RBA RES GLOBAL ALLO ETF,IRBA
14152,CORPORATE RESOURCE SVCS INC,CRRSQ
15506,CRYOPORT INC,CYRX
13621,PUMA BIOTECHNOLOGY INC,PBYI
13790,CHART ACQUISITION CORP,CACG.1
12793,FRIENDFINDER NETWORKS INC,FFNTQ
12011,REALD INC,RLD
12583,PACIRA BIOSCIENCES INC,PCRX
20333,CONTEXTLOGIC INC,LOGC
92,AFLAC INC,AFL
216,AMGEN INC,AMGN
282,ANALOG DEVICES INC,ADI
194,APPLIED MATERIALS INC,AMAT
20265,BANK OF NEW YORK MELLON CORP,BK
20065,BARRICK GOLD CORP,GOLD
20065,BARRICK GOLD CORP,GOLD
20245,BCE INC,BCE
20245,BCE INC,BCE
20245,BCE INC,BCE
20245,BELL CANADA,BCE1
540,BERKSHIRE HATHAWAY,BRK.B
540,BERKSHIRE HATHAWAY,BRK.B
540,BERKSHIRE HATHAWAY,BRK.B
540,BERKSHIRE HATHAWAY,BRK.B
7506,BEST BUY CO INC,BBY
20333,BP PLC,BP
20333,BP PLC,BP
6262,CARDINAL HEALTH INC,CAH
20421,LUMEN TECHNOLOGIES INC,LUMN
6304,CINTAS CORP,CTAS
20203,AON PLC,AON
1261,COMERICA INC,CMA
6391,AVIS BUDGET GROUP INC,CAR
20557,DANAHER CORP,DHR
20557,DANAHER CORP,DHR
1367,OMNICOM GROUP INC,OMC
20627,EATON CORP PLC,ETN
20627,EATON CORP PLC,ETN
1577,TELEFONAKTIEBOLAGET LM ERICS,ERIC
22856,MACY'S INC,M
22856,MACY'S INC,M
22856,MACY'S INC,M
1741,FIFTH THIRD BANCORP,FITB
1741,FIFTH THIRD BANCORP,FITB
1620,REGIONS FINANCIAL CORP,RF
1645,U S BANCORP/DE-OLD,USB.1
1645,US BANCORP,USB
6407,FRANKLIN RESOURCES INC,BEN
1973,GSK PLC,GSK
2093,HUNTINGTON BANCSHARES,HBAN
20972,IMPERIAL OIL LTD,IMO
20972,IMPERIAL OIL LTD,IMO
20972,IMPERIAL OIL LTD,IMO
20997,INTERPUBLIC GROUP OF COS,IPG
2551,KLA CORP,KLAC
2535,KEYCORP  -OLD,KEY.3
21111,LOEWS CORP,L
30521,MCKESSON CORP,MCK
7065,MICRON TECHNOLOGY INC,MU
3275,NORTHERN TRUST CORP,NTRS
6333,PAYCHEX INC,PAYX
31847,ROCKWELL AUTOMATION,ROK
21551,SAFEGUARD SCIENTIFICS INC,SFES
2535,KEYCORP,KEY
21633,SONY GROUP CORPORATION,SONY
21633,SONY GROUP CORPORATION,SONY
4181,SOUTHWEST AIRLINES,LUV
4260,STATE STREET CORP,STT
4298,STRYKER CORP,SYK
6412,NAVIENT CORP,NAVI
6412,NAVIENT CORP,NAVI
6412,NAVIENT CORP,NAVI
5230,TELEPHONE & DATA SYSTEMS INC,TDS
5230,TELEPHONE & DATA SYSTEMS INC,TDS
21731,TERADYNE INC,TER
7267,UNITEDHEALTH GROUP INC,UNH
36383,UNITED PARCEL SERVICE INC,UPS
5057,ZIONS BANCORPORATION NA,ZION
7882,COSTCO WHOLESALE CORPORATION,COST.
4163,TRUIST FINANCIAL CORP,TFC
4163,TRUIST FINANCIAL CORP,TFC
21224,MORGAN STANLEY,MS
8048,MICROSOFT CORP,MSFT
20881,HARLEY-DAVIDSON INC,HOG
8476,ADOBE INC,ADBE
21798,UNUM GROUP,UNM
781,SYNOVUS FINANCIAL CORP,SNV
3682,PROGRESSIVE CORP-OHIO,PGR
3682,PROGRESSIVE CORP-OHIO,PGR
9245,CADENCE DESIGN SYSTEMS INC,CDNS
20394,CARNIVAL CORPORATION & PLC,CCL
21128,MBIA INC,MBI
21866,PARAMOUNT GLOBAL,PARA
21866,PARAMOUNT GLOBAL,PARA
21866,PARAMOUNT GLOBAL,PARA
21866,PARAMOUNT GLOBAL,PARA
21578,SCHWAB (CHARLES) CORP,SCHW
21826,US CELLULAR CORP,USM
9804,WASTE MANAGEMENT INC,WM
20048,ALLIANCEBERNSTEIN HOLDING LP,AB
912,CINCINNATI FINANCIAL CORP,CINF
912,CINCINNATI FINANCIAL CORP,CINF
21996,VODAFONE GROUP PUBLIC LTD,VOD
29146,BANK OF MONTREAL,BMO
29146,BANK OF MONTREAL,BMO
29146,BANK OF MONTREAL,BMO
29148,CANADIAN IMPERIAL BANK,CM
29148,CANADIAN IMPERIAL BANK,CM
29148,CANADIAN IMPERIAL BANK,CM
29151,ROYAL BANK OF CANADA,RY
29151,ROYAL BANK OF CANADA,RY
29152,TORONTO DOMINION BANK,TD
29152,TORONTO DOMINION BANK,TD
10303,ELECTRONIC ARTS INC,EA
10408,PTC INC,PTC
6412,SLM CORP,SLM
10486,CISCO SYSTEMS INC,CSCO
34886,CGI INC,GIB
34886,CGI INC,GIB
30453,NOKIA OYJ,NOK
10996,AES CORP (THE),AES
29067,MGIC INVESTMENT CORP/WI,MTG
11253,QUALCOMM INC,QCOM
29489,BOSTON SCIENTIFIC CORP,BSX
29494,KOHL'S CORP,KSS
11901,MATCH GROUP INC,MTCH
12011,INTUIT INC,INTU
12083,SANMINA CORP,SANM
29819,ROYAL CARIBBEAN GROUP,RCL
12108,JABIL INC,JBL
29866,TRANSOCEAN LTD,RIG
29870,ALLSTATE CORP,ALL
29940,EQUITY RESIDENTIAL,EQR
30005,MARRIOTT INTL INC,MAR
30005,MARRIOTT INTL INC,MAR
30005,MARRIOTT INTL INC,MAR
30005,MARRIOTT INTL INC,MAR
7882,COSTCO WHOLESALE CORP,COST
12583,VIAVI SOLUTIONS INC,VIAV
12793,STEEL CONNECT INC,STCN
30513,CAPITAL ONE FINANCIAL CORP,COF
30835,STMICROELECTRONICS NV,STM
11901,IAC INC,IAC
13790,DISH NETWORK CORP,DISH
13621,ASML HOLDING NV,ASML
31196,ESTEE LAUDER COMPANIES INC,EL
14152,NETAPP INC,NTAP
31386,HARTFORD FINANCIAL SERVICES,HIG
14776,CHECK POINT SOFTWARE TECHN,CHKP
15321,CIENA CORP,CIEN
15473,AMAZON.COM INC,AMZN
15506,QORVO INC,QRVO
32093,YUM BRANDS INC,YUM
15940,VERISIGN INC,VRSN
34808,AMDOCS,DOX
16285,EBAY INC,EBAY
35048,GOLDMAN SACHS GROUP INC,GS
16347,AVANTAX INC,AVTA
35013,INVESCO QQQ TRUST SERIES 1,QQQ
16454,BOOKING HOLDINGS INC,BKNG
16614,JUNIPER NETWORKS INC,JNPR
35276,MANULIFE FINANCIAL CORP,MFC
35276,MANULIFE FINANCIAL CORP,MFC
17300,AKAMAI TECHNOLOGIES INC,AKAM
36364,AGILENT TECHNOLOGIES INC,A
21111,LORILLARD INC,LO
31668,SK TELECOM CO LTD,SKM